"length","Task Name","ops/sec","Average Time (ns)","Margin","Samples"
"16","Array.from({ length }, func)","12,457,152","80.27516541932673","±1.31%","6228577"
"16","Array(length) + spread + map","5,088,392","196.52571222833308","±2.16%","2544198"
"16","Array(length) + fill + map","11,088,713","90.18178863436107","±1.92%","5544362"
"16","Array(length) + for","23,357,627","42.81256769718978","±2.28%","11678814"
"16","Array(length) + spread + for","5,036,486","198.55110386653178","±1.95%","2518244"
"16","Array(length) + spread + forEach","5,211,119","191.89735603875351","±1.85%","2605560"
"16","Array(length) + fill + forEach","14,916,640","67.03922196458265","±0.93%","7458321"
"16","[] + push","18,325,849","54.56773029933011","±2.10%","9162930"
"256","Array.from({ length }, func)","1,827,001","547.3448706260276","±1.97%","913502"
"256","Array(length) + spread + map","372,313","2685.9058106926514","±2.07%","186157"
"256","Array(length) + fill + map","996,287","1003.7265108044211","±2.16%","498144"
"256","Array(length) + for","2,400,180","416.63525515889086","±2.16%","1200091"
"256","Array(length) + spread + for","403,667","2477.2840403617724","±1.56%","201834"
"256","Array(length) + spread + forEach","408,757","2446.435465494052","±1.62%","204379"
"256","Array(length) + fill + forEach","1,760,790","567.9267579686273","±1.93%","882294"
"256","[] + push","1,417,101","705.6656533312768","±2.09%","708552"
"4096","Array.from({ length }, func)","135,048","7404.720696041756","±4.36%","67525"
"4096","Array(length) + spread + map","26,425","37841.781427399685","±3.13%","13213"
"4096","Array(length) + fill + map","82,668","12096.524882068175","±3.97%","41335"
"4096","Array(length) + for","211,928","4718.572075688416","±3.90%","105965"
"4096","Array(length) + spread + for","26,829","37273.024301198195","±2.76%","13415"
"4096","Array(length) + spread + forEach","25,911","38592.35751776824","±2.65%","12956"
"4096","Array(length) + fill + forEach","104,925","9530.54844365384","±3.69%","52463"
"4096","[] + push","80,943","12354.306434105096","±4.23%","40472"
"65536","Array.from({ length }, func)","9,175","108990.43591981127","±2.64%","4588"
"65536","Array(length) + spread + map","1,484","673493.1251681887","±3.26%","743"
"65536","Array(length) + fill + map","4,575","218570.55002181852","±3.90%","2289"
"65536","Array(length) + for","10,979","91074.86612018177","±4.00%","5490"
"65536","Array(length) + spread + for","1,581","632222.6010099736","±2.72%","792"
"65536","Array(length) + spread + forEach","1,566","638176.7372448738","±2.84%","784"
"65536","Array(length) + fill + forEach","8,479","117937.75548223165","±2.94%","4241"
"65536","[] + push","6,893","145062.69045556508","±3.50%","3447"
"1048576","Array.from({ length }, func)","485","2061154.4855970433","±4.22%","243"
"1048576","Array(length) + spread + map","92","10807839.880000465","±2.81%","100"
"1048576","Array(length) + fill + map","254","3928565.9140624604","±2.87%","128"
"1048576","Array(length) + for","676","1477830.7227136747","±1.88%","339"
"1048576","Array(length) + spread + for","108","9203761.549999908","±2.56%","100"
"1048576","Array(length) + spread + forEach","96","10355419.989999937","±3.07%","100"
"1048576","Array(length) + fill + forEach","427","2339520.5700937505","±3.58%","214"
"1048576","[] + push","279","3581277.05714261","±4.34%","140"
"16777216","Array.from({ length }, func)","35","28076712.80000017","±4.58%","100"
"16777216","Array(length) + spread + map","6","165038801.1600005","±1.68%","100"
"16777216","Array(length) + fill + map","15","64089513.089999676","±2.97%","100"
"16777216","Array(length) + for","39","25379640.84000094","±1.85%","100"
"16777216","Array(length) + spread + for","6","162071490.79999974","±1.50%","100"
"16777216","Array(length) + spread + forEach","5","186792892.31000105","±2.24%","100"
"16777216","Array(length) + fill + forEach","16","59684912.360000454","±3.71%","100"
"16777216","[] + push","7","128359421.61000057","±2.78%","100"
